id;start_date;end_date;language
1;2020-01-23T00:11:48;2020-01-22T22:02:03;SPANISH
2;2020-01-22T05:01:59;2020-01-23T00:06:24;SPANISH
3;2020-01-22T19:57:18;2020-01-22T06:31:27;FRENCH
4;2020-01-22T11:14:49;2020-01-22T22:46:15;FRENCH
5;2020-01-22T20:45:07;2020-01-23T01:32:06;FRENCH
6;2020-01-22T14:37:28;2020-01-23T02:45:42;FRENCH
7;2020-01-22T16:22:48;2020-01-22T10:13:39;FRENCH
8;2020-01-22T15:19:01;2020-01-23T01:35:09;SPANISH
9;2020-01-22T14:00:10;2020-01-22T10:41:33;SPANISH
10;2020-01-22T22:12:14;2020-01-22T08:46:44;SPANISH
